frame,time,id,pose_cx,pose_cy,pelvis_x,pelvis_y,pelvis_z,pelvis_u,pelvis_v,left_hip_x,left_hip_y,left_hip_z,left_hip_u,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_u,right_hip_v,spine3_x,spine3_y,spine3_z,spine3_u,spine3_v,neck_x,neck_y,neck_z,neck_u,neck_v,left_knee_x,left_knee_y,left_knee_z,left_knee_u,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_u,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_u,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_u,right_ankle_v,left_foot_x,left_foot_y,left_foot_z,left_foot_u,left_foot_v,right_foot_x,right_foot_y,right_foot_z,right_foot_u,right_foot_v,head_x,head_y,head_z,head_u,head_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_u,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_u,right_shoulder_v,left_acromion_x,left_acromion_y,left_acromion_z,left_acromion_u,left_acromion_v,right_acromion_x,right_acromion_y,right_acromion_z,right_acromion_u,right_acromion_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_u,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_u,right_elbow_v,left_olecranon_x,left_olecranon_y,left_olecranon_z,left_olecranon_u,left_olecranon_v,right_olecranon_x,right_olecranon_y,right_olecranon_z,right_olecranon_u,right_olecranon_v,left_cubital_fossa_x,left_cubital_fossa_y,left_cubital_fossa_z,left_cubital_fossa_u,left_cubital_fossa_v,right_cubital_fossa_x,right_cubital_fossa_y,right_cubital_fossa_z,right_cubital_fossa_u,right_cubital_fossa_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_u,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_u,right_wrist_v,left_big_toe_tip_x,left_big_toe_tip_y,left_big_toe_tip_z,left_big_toe_tip_u,left_big_toe_tip_v,right_big_toe_tip_x,right_big_toe_tip_y,right_big_toe_tip_z,right_big_toe_tip_u,right_big_toe_tip_v,left_small_toe_tip_x,left_small_toe_tip_y,left_small_toe_tip_z,left_small_toe_tip_u,left_small_toe_tip_v,right_small_toe_tip_x,right_small_toe_tip_y,right_small_toe_tip_z,right_small_toe_tip_u,right_small_toe_tip_v,left_heel_x,left_heel_y,left_heel_z,left_heel_u,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_u,right_heel_v,left_toe_x,left_toe_y,left_toe_z,left_toe_u,left_toe_v,right_toe_x,right_toe_y,right_toe_z,right_toe_u,right_toe_v
0,0,1,1402.59,579.167,1.01828,0.140105,3.39785,1417.54,602.953,0.94613,0.150748,3.35886,1390.06,608.522,1.09044,0.129462,3.43683,1444.41,597.511,0.971737,-0.246726,3.35428,1402.3,427.699,0.951789,-0.412511,3.33561,1395.65,351.188,0.834094,0.477552,3.56776,1316.93,744.359,1.13751,0.522513,3.51612,1453.92,766.883,0.809235,0.843312,3.67056,1296.6,890.772,1.2238,0.879826,3.41542,1507.06,933.299,0.666468,0.867456,3.77433,1229.59,890.895,1.19185,0.943183,3.57509,1468.98,942.79,0.839131,-0.561575,3.4247,1334.09,289.646,0.833191,-0.317585,3.21842,1355.25,389.344,1.11354,-0.386096,3.43484,1454.96,368.384,0.816086,-0.354054,3.22745,1346.05,372.514,1.1002,-0.424544,3.44337,1447.82,351.762,0.815924,-0.0497432,3.2407,1344.4,516.565,1.11539,-0.147837,3.56392,1437.82,476.668,0.82066,-0.0168756,3.23332,1347.51,532.031,1.13013,-0.116415,3.57348,1442.84,490.262,0.808941,-0.0768887,3.26666,1338.08,504.064,1.08783,-0.169679,3.55777,1426.82,467.185,0.702738,-0.032941,3.46661,1269.5,525.492,0.892006,-0.120642,3.6744,1330.64,489.872,0.671737,0.853052,3.81047,1229.15,881.795,1.15369,0.941999,3.58365,1451.51,941.322,0.661199,0.88186,3.73819,1230.05,900.17,1.23001,0.944367,3.56652,1486.54,944.264,0.829304,0.895379,3.66195,1305.76,913.305,1.24316,0.9235,3.38212,1521.19,956.886,0.666468,0.867456,3.77433,1229.59,890.895,1.19185,0.943183,3.57509,1468.98,942.79
0,0,2,825.505,430.637,-0.520822,-0.384948,5.79095,822.688,438.51,-0.449002,-0.387363,5.81693,842.151,438.33,-0.592641,-0.382534,5.76498,803.049,438.693,-0.459747,-0.735052,5.63119,835.351,340.71,-0.433572,-0.885096,5.56272,841.001,297.075,-0.423319,0.015519,5.90337,850.519,544.014,-0.655643,0.0201322,5.69913,784.358,545.393,-0.436191,0.372593,6.07015,850.29,633.714,-0.735003,0.399827,5.75858,765.131,646.005,-0.338682,0.465081,5.95531,873.173,659.232,-0.752455,0.492469,5.60462,755.024,674.153,-0.349847,-0.952611,5.38447,860.802,269.889,-0.286497,-0.865779,5.67164,882.877,306.94,-0.61744,-0.834067,5.5475,790.072,310.453,-0.279166,-0.888451,5.63476,884.359,299.272,-0.606447,-0.861497,5.51538,792.125,301.523,-0.160257,-0.774642,5.89431,918.49,339.351,-0.782635,-0.610743,5.61279,747.113,373.87,-0.149784,-0.765775,5.92101,921.378,342.542,-0.801954,-0.608668,5.64808,743.221,375.468,-0.184831,-0.765359,5.86588,911.893,340.795,-0.769695,-0.599492,5.58768,749.692,376.197,-0.286198,-0.565803,5.79086,884.544,390.827,-0.912799,-0.3831,5.5898,710.685,435.363,-0.35713,0.469199,5.92093,867.912,660.986,-0.718511,0.494311,5.58531,763.594,675.121,-0.320234,0.460963,5.98968,878.373,657.498,-0.786399,0.490627,5.62394,746.513,673.193,-0.450303,0.409127,6.11283,847.531,642.185,-0.745911,0.439693,5.79752,763.567,655.791,-0.338682,0.465081,5.95531,873.173,659.232,-0.752455,0.492469,5.60462,755.024,674.153
1,0.0333667,1,1392.86,577.156,1.00023,0.134606,3.40398,1408.62,600.374,0.928771,0.144812,3.36414,1381.51,605.72,1.07169,0.124401,3.44381,1435.11,595.151,0.950292,-0.249197,3.36274,1391.45,426.859,0.928891,-0.413684,3.34507,1383.96,351.187,0.815445,0.466427,3.57617,1308.13,739.129,1.12375,0.515511,3.51836,1447.64,763.7,0.810658,0.834607,3.66454,1297.74,887.722,1.21792,0.864241,3.40442,1506.19,927.579,0.669513,0.86326,3.76727,1231.33,889.852,1.19068,0.937648,3.5605,1470.57,942.066,0.820303,-0.560318,3.43424,1324.68,290.901,0.809663,-0.316744,3.22887,1342.84,390.229,1.0882,-0.386135,3.44766,1441.9,369.005,0.792016,-0.352848,3.23785,1333.46,373.62,1.07544,-0.423625,3.45737,1434.91,352.93,0.796794,-0.0498424,3.25759,1333.44,516.64,1.10565,-0.135453,3.55466,1434.89,481.822,0.801859,-0.0169359,3.24952,1336.74,532.043,1.12969,-0.105446,3.55556,1445.09,494.722,0.790612,-0.0765283,3.28382,1327.58,504.42,1.07512,-0.151038,3.5566,1421.52,475.163,0.696124,-0.0253994,3.48588,1264.89,528.875,0.939268,-0.0151348,3.69429,1348.17,533.745,0.674543,0.849537,3.80368,1230.75,880.995,1.1527,0.937862,3.56975,1453,941.116,0.664482,0.876983,3.73086,1231.92,898.881,1.22867,0.937435,3.55126,1488.23,943.021,0.832681,0.885858,3.65454,1307.87,910.084,1.23808,0.905244,3.36862,1521.13,950.282,0.669513,0.86326,3.76727,1231.33,889.852,1.19068,0.937648,3.5605,1470.57,942.066
1,0.0333667,2,832.128,429.543,-0.499353,-0.391635,5.81581,828.911,437.189,-0.42636,-0.392268,5.8381,848.5,437.416,-0.572346,-0.391003,5.79351,809.171,436.96,-0.432632,-0.740771,5.65439,843.184,339.983,-0.404037,-0.890401,5.58522,849.554,296.603,-0.404567,0.0112157,5.92467,855.745,542.89,-0.637944,0.0118453,5.72888,789.987,543.157,-0.415833,0.370694,6.0889,855.733,632.949,-0.706557,0.396646,5.77362,773.161,644.888,-0.320095,0.462148,5.97142,878.159,658.16,-0.74551,0.482665,5.61921,757.443,671.141,-0.317444,-0.951948,5.40548,870.339,271.127,-0.254378,-0.86496,5.69225,891.772,308.004,-0.592932,-0.843988,5.57409,797.595,308.83,-0.247513,-0.887982,5.65526,893.179,300.271,-0.581404,-0.871291,5.54192,799.828,299.966,-0.126552,-0.763012,5.91015,927.308,342.893,-0.761228,-0.625199,5.64576,754.145,370.931,-0.114755,-0.753805,5.93706,930.49,346.154,-0.77908,-0.622375,5.68198,750.66,372.767,-0.151677,-0.753983,5.88188,920.629,344.289,-0.749375,-0.61437,5.61918,756.392,373.073,-0.247024,-0.551954,5.80843,895.069,394.918,-0.89438,-0.401631,5.61716,716.906,430.836,-0.339125,0.466005,5.93729,872.795,659.831,-0.714523,0.483878,5.59534,765.034,672.032,-0.301065,0.458291,6.00555,883.462,656.508,-0.776498,0.481452,5.64308,749.916,670.258,-0.42929,0.407763,6.13152,853.106,641.533,-0.711919,0.438474,5.81165,772.975,655.19,-0.320095,0.462148,5.97142,878.159,658.16,-0.74551,0.482665,5.61921,757.443,671.141
2,0.0667333,1,1383.29,573.297,0.983498,0.125847,3.4159,1399.58,596.248,0.911662,0.136164,3.37737,1372.12,601.554,1.05533,0.11553,3.45442,1426.43,591.061,0.929346,-0.254003,3.37744,1380.11,425.179,0.906139,-0.416796,3.36096,1371.62,350.665,0.796504,0.451114,3.58947,1298.79,731.878,1.10893,0.504225,3.51348,1441.87,759.106,0.813309,0.823509,3.65179,1300.03,884.296,1.2084,0.842871,3.37898,1506,920.842,0.674045,0.857759,3.75299,1234.21,888.945,1.18721,0.927155,3.53015,1473.46,940.985,0.796098,-0.560856,3.45091,1312.21,291.866,0.791525,-0.321774,3.2438,1332.55,388.551,1.0623,-0.391283,3.46579,1427.97,367.631,0.772382,-0.357566,3.25268,1322.54,372.165,1.04882,-0.429085,3.47586,1420.69,351.526,0.775754,-0.0561165,3.27402,1321.75,513.832,1.06673,-0.146362,3.5853,1414.25,477.674,0.779982,-0.0234504,3.2652,1324.71,529.035,1.09227,-0.117893,3.58985,1424.54,489.861,0.770735,-0.0820199,3.30078,1316.5,502.062,1.03606,-0.159747,3.5836,1401.4,471.942,0.682139,-0.0251639,3.5053,1257.11,529.04,0.899335,-0.013148,3.71318,1329.78,534.594,0.679034,0.845518,3.78984,1233.55,880.621,1.1496,0.928899,3.5404,1455.75,940.577,0.669056,0.869999,3.71615,1234.88,897.433,1.22481,0.925411,3.51991,1491.26,941.395,0.836776,0.873711,3.63915,1311.06,906.553,1.22837,0.880951,3.34028,1521.45,942.659,0.674045,0.857759,3.75299,1234.21,888.945,1.18721,0.927155,3.53015,1473.46,940.985
2,0.0667333,2,838.612,428.268,-0.477312,-0.399293,5.83362,835.08,435.498,-0.402938,-0.397962,5.85148,854.866,436.165,-0.551686,-0.400624,5.81575,815.171,434.828,-0.405959,-0.746088,5.67062,850.7,339.124,-0.375379,-0.894714,5.60077,857.673,296.104,-0.387744,0.00495586,5.94056,860.348,541.274,-0.619734,0.00423533,5.77139,796.057,541.12,-0.397048,0.36654,6.0982,860.594,631.767,-0.678764,0.388845,5.82347,782.047,641.945,-0.302469,0.455786,5.97836,882.755,656.399,-0.730405,0.477151,5.67425,763.472,668.386,-0.289829,-0.951324,5.41902,878.344,271.974,-0.223259,-0.861452,5.7052,900.254,309.469,-0.568016,-0.854624,5.59402,804.974,306.751,-0.216648,-0.885131,5.66837,901.647,301.593,-0.555818,-0.881701,5.56186,807.426,297.97,-0.101663,-0.745515,5.91734,933.77,347.647,-0.735768,-0.640918,5.67101,761.916,367.452,-0.0896801,-0.734823,5.94378,936.964,351.249,-0.754592,-0.638816,5.70672,758.119,369.094,-0.125711,-0.737758,5.88795,927.403,348.698,-0.722851,-0.629525,5.64469,764.486,369.729,-0.206382,-0.539794,5.79824,905.657,397.865,-0.861264,-0.417952,5.63944,726.832,426.849,-0.321929,0.459359,5.94445,877.317,657.98,-0.701701,0.478441,5.64768,770.307,669.338,-0.283009,0.452212,6.01227,888.133,654.834,-0.759109,0.475861,5.70082,756.701,667.442,-0.409914,0.404242,6.14043,858.079,640.51,-0.679801,0.430299,5.86217,782.952,652.068,-0.302469,0.455786,5.97836,882.755,656.399,-0.730405,0.477151,5.67425,763.472,668.386
3,0.1001,1,1371.47,569.035,0.954671,0.113816,3.42698,1385.31,590.706,0.8719,0.123232,3.38532,1353.22,595.577,1.03744,0.1044,3.46865,1416.64,585.952,0.902548,-0.262346,3.3961,1365.75,422.059,0.88021,-0.423559,3.38286,1357.26,348.839,0.777992,0.439658,3.58867,1290.99,727.047,1.08841,0.48827,3.48716,1436.53,753.775,0.811258,0.812165,3.62685,1301.51,881.888,1.18948,0.816133,3.33513,1504.52,913.608,0.678107,0.846789,3.73111,1237.48,886.503,1.16505,0.909012,3.47952,1471.2,938.859,0.776916,-0.571285,3.46986,1301.85,288.632,0.769755,-0.333614,3.26144,1320.34,383.828,1.03157,-0.393274,3.49154,1411.08,368.032,0.748125,-0.367476,3.27089,1309.2,368.473,1.01956,-0.429653,3.5048,1404.14,352.836,0.760426,-0.064791,3.28971,1312.91,509.93,1.02755,-0.132437,3.58096,1398.1,483.535,0.764186,-0.0325098,3.28017,1315.69,524.868,1.05645,-0.106657,3.57508,1411.16,494.452,0.756648,-0.090286,3.31671,1308.3,498.439,0.998651,-0.141858,3.58655,1385.11,479.613,0.68309,-0.0317128,3.51399,1256.79,526.221,0.931326,0.0513887,3.69858,1344.45,561.213,0.684656,0.836154,3.76818,1237.4,878.785,1.1273,0.911555,3.48893,1453.31,938.895,0.671557,0.857424,3.69403,1237.56,894.376,1.20279,0.906469,3.4701,1489.2,938.823,0.83501,0.86234,3.61147,1313,904.556,1.20963,0.852345,3.29457,1520.56,934.99,0.678107,0.846789,3.73111,1237.48,886.503,1.16505,0.909012,3.47952,1471.2,938.859
3,0.1001,2,844.889,427.005,-0.455632,-0.403347,5.85675,841.225,434.854,-0.380028,-0.399691,5.87004,861.158,436.043,-0.531236,-0.407003,5.84347,821.201,433.66,-0.382713,-0.752819,5.69891,857.47,338.318,-0.351463,-0.902593,5.63126,864.711,295.288,-0.370348,0.000260323,5.95716,865.084,540.067,-0.597386,-0.00635001,5.79106,802.505,538.326,-0.378577,0.36044,6.11296,865.448,630.022,-0.650186,0.376469,5.84742,790.237,638.296,-0.286882,0.449264,5.99072,886.887,654.496,-0.699614,0.467119,5.69895,772.573,665.142,-0.265613,-0.955731,5.44877,885.575,272.203,-0.196796,-0.864463,5.7285,907.55,309.604,-0.546472,-0.869221,5.63119,811.838,304.333,-0.190397,-0.888369,5.69256,908.935,301.738,-0.534702,-0.896252,5.599,814.196,295.607,-0.0819603,-0.725006,5.92998,938.898,353.337,-0.714125,-0.657805,5.71053,769.073,364.131,-0.0692186,-0.713015,5.95672,942.259,357.249,-0.73542,-0.655593,5.74495,764.558,365.772,-0.106081,-0.718778,5.90012,932.55,354.004,-0.698583,-0.64617,5.68474,772.381,366.458,-0.181598,-0.519306,5.80578,912.245,403.437,-0.824012,-0.428277,5.66758,738.025,424.629,-0.307098,0.452516,5.95718,881.294,655.974,-0.67075,0.468212,5.67251,779.468,666.019,-0.266666,0.446011,6.02426,892.418,653.035,-0.728478,0.466026,5.7254,765.742,664.272,-0.390813,0.398136,6.15531,863.063,638.753,-0.650495,0.417381,5.88662,791.288,648.252,-0.286882,0.449264,5.99072,886.887,654.496,-0.699614,0.467119,5.69895,772.573,665.142
4,0.133467,1,1361.25,567.423,0.931869,0.109246,3.44211,1373.33,588.456,0.845441,0.118595,3.40016,1339.62,593.252,1.0183,0.099897,3.48407,1406.23,583.776,0.876831,-0.265286,3.41518,1351.99,421.404,0.853243,-0.4258,3.40364,1342.74,349.001,0.771484,0.443776,3.59565,1287.58,728.432,1.07773,0.481608,3.49804,1430.39,750.203,0.820708,0.813405,3.6332,1304.88,881.811,1.19053,0.795346,3.32913,1505.98,904.75,0.686043,0.846079,3.73399,1240.51,885.945,1.17086,0.904369,3.46221,1476.32,938.806,0.760236,-0.571878,3.4982,1291.8,290.409,0.744796,-0.340853,3.28146,1306.53,381.413,1.00381,-0.396175,3.50568,1397.17,367.462,0.721862,-0.373564,3.29141,1294.84,366.718,0.992759,-0.432247,3.52054,1390.53,352.547,0.740849,-0.0721824,3.29997,1302.76,506.604,1.02809,-0.137528,3.59228,1396.95,481.549,0.744827,-0.0405312,3.28918,1305.73,521.186,1.05558,-0.112054,3.58256,1409.85,492.247,0.737578,-0.0965967,3.32773,1298.4,495.682,1.00001,-0.147225,3.60258,1383.8,477.607,0.673598,-0.0315295,3.51943,1252.21,526.322,0.951048,0.0331891,3.72871,1349.41,553.59,0.691679,0.835215,3.77115,1240.03,878.138,1.13329,0.909097,3.47152,1458.42,939.816,0.680407,0.856944,3.69683,1241,893.909,1.20842,0.899642,3.4529,1494.32,937.791,0.845836,0.863558,3.61899,1316.84,904.312,1.21168,0.826316,3.2849,1523.16,924.054,0.686043,0.846079,3.73399,1240.51,885.945,1.17086,0.904369,3.46221,1476.32,938.806
4,0.133467,2,851.267,426.123,-0.436846,-0.407964,5.87749,846.524,434.026,-0.360588,-0.402755,5.88903,866.516,435.584,-0.513105,-0.413172,5.86596,826.452,432.462,-0.358003,-0.756891,5.71606,864.378,337.835,-0.324213,-0.906431,5.64687,872.342,294.927,-0.349678,-0.00220498,5.96972,870.57,539.436,-0.576988,-0.0121652,5.81924,808.62,536.808,-0.35969,0.357845,6.12508,870.343,629.197,-0.630155,0.369086,5.88422,796.496,635.765,-0.264804,0.446561,6.00474,892.671,653.542,-0.666962,0.459785,5.73228,782.359,662.46,-0.24381,-0.95832,5.46108,891.838,272.083,-0.166418,-0.859684,5.7369,915.711,311.214,-0.519447,-0.884234,5.65407,819.735,301.233,-0.160008,-0.883279,5.70134,917.152,303.468,-0.507788,-0.909871,5.62127,822.083,292.876,-0.0703277,-0.695188,5.92545,941.879,360.877,-0.68552,-0.6815,5.74712,777.888,358.956,-0.0590184,-0.680281,5.95149,944.86,365.485,-0.709191,-0.681655,5.77982,772.665,359.939,-0.0928541,-0.692589,5.89399,935.947,360.595,-0.66748,-0.667944,5.72357,781.951,361.827,-0.164426,-0.503719,5.77623,916.539,406.859,-0.778509,-0.443024,5.71475,752.013,421.642,-0.284252,0.449889,5.97075,887.315,655.039,-0.636071,0.460508,5.70821,789.873,663.17,-0.245357,0.443233,6.03872,897.967,652.061,-0.697854,0.459061,5.75635,774.909,661.756,-0.372908,0.395422,6.16704,867.68,637.893,-0.633309,0.409676,5.92371,796.773,645.588,-0.264804,0.446561,6.00474,892.671,653.542,-0.666962,0.459785,5.73228,782.359,662.46
